project_name,Frequência,Descrição,is_ui
react,287,react: Uma biblioteca JavaScript para construir interfaces de usuário. O React permite criar componentes reutilizáveis e gerenciar o estado da aplicação de forma eficiente.,True
react-dom,219,react-dom: Uma biblioteca que fornece métodos específicos para interagir com a DOM (Document Object Model) no contexto de aplicações React.,True
@types/react,172,"@types/react: Um pacote que fornece definições de tipos para a biblioteca React, permitindo que o TypeScript reconheça os tipos usados no React.",True
eslint-plugin-react,140,eslint-plugin-react: Um plugin do ESLint que fornece regras específicas para projetos React.,True
@types/react-dom,99,@types/react-dom: Um pacote que fornece definições de tipos para a biblioteca React DOM.,True
react-test-renderer,94,react-test-renderer: Uma biblioteca para testar componentes React sem precisar renderizá-los no DOM.,True
@testing-library/react,80,@testing-library/react: Uma biblioteca para testar componentes React de forma mais fácil e eficiente.,True
vue,79,"vue: Uma biblioteca JavaScript para construir interfaces de usuário, semelhante ao React.",True
@babel/preset-react,78,@babel/preset-react: Um preset do Babel que permite usar a sintaxe do React.,True
css-loader,77,css-loader: Um loader para Webpack que permite importar arquivos CSS em arquivos JavaScript.,True
sass,75,"sass: Uma linguagem de programação CSS que permite usar recursos como variáveis, mixins e outros.",True
tailwindcss,62,tailwindcss: Uma biblioteca CSS que fornece classes utilitárias para estilizar componentes.,True
@babel/preset-typescript,56,@babel/preset-typescript: Um preset do Babel que permite usar a sintaxe do TypeScript.,True
vue-router,54,vue-router: Uma biblioteca para gerenciar rotas em aplicações Vue.js.,True
style-loader,51,style-loader: Um loader para Webpack que permite importar arquivos CSS em arquivos JavaScript.,True
@testing-library/user-event,46,@testing-library/user-event: Uma biblioteca para testar interações do usuário em aplicações React.,True
eslint-plugin-vue,45,eslint-plugin-vue: Um plugin do ESLint que fornece regras específicas para projetos Vue.js.,True
react-redux,42,react-redux: Uma biblioteca que fornece recursos para lidar com o estado global em aplicações React.,True
react-scripts,41,react-scripts: Uma biblioteca que fornece recursos para construir aplicações React com facilidade.,True
